Keyword Unique ID	Account ID	Account Name	Campaign	Ad Group	Keyword	Keyword Type	Subid	Paused	Max CPC	ACCOUNT	CAMPAIGN	BRAND	BRAND+CATEGORY	ADGROUP	KEYWORD	Last Avg CPC	Last Avg Pos	Clicks	Impressions	ACCOUNT - Clicks	CAMPAIGN - Clicks	BRAND - Clicks	BRAND+CATEGORY - Clicks	ADGROUP - Clicks	KEYWORD - Clicks	Avg CPC	CTR	Est EPC	newBid	Costs	Avg Pos	Commission Value	ACCOUNT - Commission Value	CAMPAIGN - Commission Value	BRAND - Commission Value	BRAND+CATEGORY - Commission Value	ADGROUP - Commission Value	KEYWORD - Commission Value	number of commissions
3	thwxdyihb	dqdz	pmbjftll	cjz	pojfsoov	lssoy	hqeqqeu	gdqtmsysx	mwbodaxxh	omamqxveu	t	uwu	kuhnp	k	koyd	qatzvjyjd	rmvxp	4	0	4	4	4	9	8	8	48,72105046647744	0,0	42,42158581069358	0,0	25,027495396890167	34,583055397775844	16,68425202749812	17,993213089171384	86,57525421064827	12,272465603850954	11,863238187788703	95,28364752663907	20,064459682285012	19,37703086237186
6	shzoej	qgn	xkdms	d	kstuxo	mworru	ozqtevych	lgu	icalbqvn	ekzydqp	seqiqpigf	noxiuobwtb	hcdrwjkcr	juluzno	x	zbzkplxf	vidoymdj	4	9	0	6	6	5	5	6	0,8117862067806136	65,72868392325059	31,216908142949453	3,2047916339432305	45,55487519834205	4,376072826311198	8,8325599464198	0,0	1,379580498199351	48,21747893730305	17,661910308972406	92,28223278135398	9,61611112380831	65,78433237820816
4	fwgjnvux	rhcaebnre	uaqklhli	rbsqzd	tjbqrtkai	dgrxorf	dyxy	jn	yxf	nyx	qpnna	gdvdodatzq	ytpca	sbwcp	iiprgpmkp	llako	oqqhmuvm	3	9	3	5	4	5	2	1	14,82700327992381	2,669242085770951	62,79508374806527	19,00864988933379	26,2941511878704	7,860105901123621	3,8019512317399973	7,170442950752468	28,801811590429555	50,93238293594175	19,788785058500473	32,02053568024299	10,9885745863817	3,99456145836034
9	uql	fmam	cb	xtdndfzpe	vcafdpe	ouamtjhk	ehylev	pycc	j	yzagcqzn	gulrco	pqxxnle	u	zibrtulm	uvadlo	taz	npff	8	5	8	0	2	6	2	6	61,27313561305313	28,979919783399442	42,518888136558516	27,84881264694146	24,776904819513977	70,6715906834967	35,43857041228875	46,149934514312704	19,44901524753011	79,94596875207128	60,0180641958872	35,06833189554439	59,44955664779583	9,861952412292966
8	qrglqdhd	xfigtll	eoxaqz	mckmcdpgdc	mvvwdx	mvtbl	hwajjhd	oiygtomyt	rf	cvogf	vxs	h	flrpicadb	pycnpsiqmf	ygbtvngcee	puqckrkg	xsyvn	6	9	0	7	5	1	5	6	4,459692627325884	47,72010247779563	37,77010934796822	4,857769786102818	46,80876054444588	10,865523464952961	26,76720606128009	15,490516072218746	9,888697405948749	5,751402399275663	8,362398673646423	28,54178707953076	3,024182293631447	17,208069766383975
8	d	ebrfpjtq	hnhthvphw	gte	d	jntyelmqr	wdzbmdx	nxwyfisx	s	yrwamqjkfq	flsejclk	whfm	olvoe	jj	sgxp	ddljszs	zf	8	3	5	8	1	6	4	1	42,96612842978642	26,761460117022736	26,196558374602038	26,984829053516627	3,7934635101793153	25,253829603370253	0,9686749109151801	11,103230622478632	54,5349344161211	10,551368608955592	42,671722573025086	34,37615776418888	21,771617322122673	10,159752754905114
0	kwowkoly	ieh	rcvmu	v	guwd	eoun	oejb	mo	imksdolnwa	og	q	dyqvblbew	ppdtgjef	zsmiim	czlorgji	hsj	shljjyn	4	0	7	8	1	7	2	4	80,96366284993809	0,9963579289549971	17,193998006915933	26,14886705742962	47,59108824686019	38,40031303609566	32,14928967232916	26,91868642919607	6,138589535211693	35,32462618562023	23,002843803646012	1,4030003155799835	8,234099808003311	19,120064703871144
4	jvpunveio	dgf	iwquw	fst	ud	ey	wqdrbgags	b	fqtuohr	oo	ge	ukn	jkxulzrhi	e	o	mqc	fs	9	5	0	9	7	0	7	0	13,13937138536844	25,608698263069105	37,73183697209871	16,163687004298673	14,966232045548896	21,306097393779453	16,771217152918027	66,50921306423356	54,87977855770683	42,60401444776272	46,72246851694531	24,83002821488521	6,784596345001138	6,717315583097802
8	udjwcdx	seekqsr	orsnkov	yvef	yhxllvxf	wbcxqhd	ke	jrkvet	nqctpla	kqxtu	h	lccvhuomo	btbdarlovl	eph	snm	hbiwx	jzk	5	2	7	9	2	4	3	2	19,088847112058183	2,790961084969771	4,928479666696869	58,42185771840247	8,14575968893192	34,43719299960956	1,8932392569709415	43,884384784432854	49,10929577629618	21,771551600680393	60,37614798149714	38,42898667195418	0,0	6,545525342841888
5	dmpjyh	oo	cetc	e	cgzpvlyxdz	l	ivqkllpxu	vl	wepnlvyyvk	fbkwm	napyie	fsbphpi	dulxqwbu	xdedxy	hr	ddpbx	ynccagsc	0	0	1	2	0	4	2	3	8,056253720471293	2,2246152651975315	86,83518558423305	13,060266568236361	9,238732787798007	5,006134177904465	25,296473087970547	72,07493085761314	29,166479642204816	38,208295298857564	1,8294880549821926	35,334167355197586	1,6809330746394506	64,90840691014729
